;Open;High;Low;Close;Date;Values
2023-01-06 00:00:00;;;;;2023-01-06;1,0
2023-01-07 00:00:00;;;;;2023-01-07;1,0
2023-01-08 00:00:00;;;;;2023-01-08;1,0
2023-01-09 00:00:00;;;;;2023-01-09;1,0
2023-01-10 00:00:00;;;;;2023-01-10;1,0
2023-01-11 00:00:00;;;;;2023-01-11;1,0
2023-01-12 00:00:00;;;;;2023-01-12;1,0
2023-01-12 18:52:00;7824,2;7824,2;7824,2;7824,2;;
2023-01-12 18:53:15;7823,7;7823,7;7823,7;7823,7;;
2023-01-12 18:53:23;7824,2;7824,2;7824,2;7824,2;;
2023-01-12 18:53:52;7823,7;7824,2;7823,7;7824,2;;
2023-01-12 18:53:59;7823,7;7823,7;7823,7;7823,7;;
2023-01-12 18:54:22;7824,2;7824,2;7824,2;7824,2;;
2023-01-12 18:54:25;7823,7;7823,7;7823,7;7823,7;;
2023-01-12 18:55:00;7823,7;7824,2;7823,7;7824,2;;
2023-01-12 18:55:02;7823,7;7823,7;7823,7;7823,7;;
2023-01-12 18:56:12;7823,2;7823,2;7823,2;7823,2;;
2023-01-12 18:56:15;7822,7;7822,7;7822,7;7822,7;;
2023-01-12 18:56:22;7823,2;7823,2;7822,7;7822,7;;
2023-01-12 18:56:25;7823,2;7823,2;7823,2;7823,2;;
2023-01-12 18:56:27;7823,7;7823,7;7823,7;7823,7;;
2023-01-12 18:56:55;7823,2;7823,2;7823,2;7823,2;;
2023-01-12 18:57:01;7823,7;7823,7;7823,7;7823,7;;
2023-01-12 18:57:02;7823,2;7823,2;7823,2;7823,2;;
2023-01-12 18:57:03;7823,7;7823,7;7823,7;7823,7;;
2023-01-12 18:57:05;7823,2;7823,2;7823,2;7823,2;;
2023-01-12 18:57:08;7823,7;7823,7;7823,7;7823,7;;
2023-01-12 18:57:18;7824,2;7824,2;7824,2;7824,2;;
2023-01-12 18:57:30;7823,7;7823,7;7823,7;7823,7;;
2023-01-12 18:57:47;7824,2;7824,2;7823,7;7823,7;;
2023-01-12 18:57:51;7824,2;7824,2;7824,2;7824,2;;
2023-01-12 18:57:56;7823,7;7823,7;7823,7;7823,7;;
2023-01-12 18:58:00;7824,2;7824,2;7824,2;7824,2;;
2023-01-12 18:58:07;7823,7;7823,7;7823,7;7823,7;;
2023-01-12 18:58:11;7824,2;7824,2;7824,2;7824,2;;
2023-01-12 18:58:19;7823,7;7823,7;7823,7;7823,7;;
2023-01-12 18:58:20;7824,2;7824,2;7824,2;7824,2;;
2023-01-12 18:58:23;7823,7;7823,7;7823,7;7823,7;;
2023-01-12 18:58:24;7824,2;7824,2;7824,2;7824,2;;
2023-01-12 18:58:30;7823,7;7823,7;7823,7;7823,7;;
2023-01-12 18:58:51;7823,2;7823,2;7823,2;7823,2;;
2023-01-12 18:59:07;7823,7;7823,7;7823,7;7823,7;;
2023-01-12 18:59:15;7823,2;7823,2;7823,2;7823,2;;
2023-01-12 18:59:40;7822,7;7823,2;7822,7;7823,2;;
2023-01-12 18:59:43;7822,7;7822,7;7822,7;7822,7;;
2023-01-12 18:59:46;7823,2;7823,2;7823,2;7823,2;;
2023-01-12 18:59:49;7822,7;7822,7;7822,7;7822,7;;
2023-01-12 18:59:50;7823,2;7823,2;7823,2;7823,2;;
2023-01-12 18:59:54;7822,7;7822,7;7822,7;7822,7;;
2023-01-12 18:59:56;7823,2;7823,2;7823,2;7823,2;;
2023-01-12 18:59:57;7822,7;7822,7;7822,7;7822,7;;
2023-01-12 19:00:00;7824,3;7824,3;7822,8;7823,3;;
2023-01-12 19:00:01;7823,8;7823,8;7823,8;7823,8;;
2023-01-12 19:00:02;7823,3;7823,3;7823,3;7823,3;;
2023-01-12 19:00:05;7823,3;7823,3;7823,3;7823,3;;
2023-01-12 19:00:06;7822,8;7822,8;7822,8;7822,8;;
2023-01-12 19:00:10;7822,8;7823,8;7822,8;7823,8;;
2023-01-12 19:00:12;7823,8;7824,3;7823,8;7824,3;;
2023-01-12 19:00:13;7824,3;7824,8;7824,3;7824,8;;
2023-01-12 19:00:14;7825,3;7825,8;7825,3;7825,8;;
2023-01-12 19:00:15;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:00:21;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:00:25;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:00:26;7826,8;7827,3;7826,3;7827,3;;
2023-01-12 19:00:27;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:00:29;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:00:31;7827,8;7827,8;7827,3;7827,3;;
2023-01-12 19:00:32;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:00:33;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:00:34;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:00:39;7827,8;7827,8;7827,8;7827,8;;
2023-01-12 19:00:42;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:00:44;7827,8;7827,8;7827,8;7827,8;;
2023-01-12 19:00:47;7827,3;7827,8;7827,3;7827,3;;
2023-01-12 19:00:55;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:00:56;7826,8;7826,8;7826,8;7826,8;;
2023-01-12 19:01:00;7826,8;7826,8;7826,8;7826,8;;
2023-01-12 19:01:02;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:01:04;7826,8;7826,8;7826,8;7826,8;;
2023-01-12 19:01:15;7825,3;7825,3;7824,3;7824,3;;
2023-01-12 19:01:18;7825,3;7825,3;7825,3;7825,3;;
2023-01-12 19:01:44;7826,3;7826,3;7825,8;7826,3;;
2023-01-12 19:01:45;7825,8;7825,8;7825,8;7825,8;;
2023-01-12 19:01:49;7826,3;7826,3;7826,3;7826,3;;
2023-01-12 19:01:54;7826,8;7826,8;7826,8;7826,8;;
2023-01-12 19:02:02;7827,8;7827,8;7827,8;7827,8;;
2023-01-12 19:02:03;7827,8;7827,8;7827,8;7827,8;;
2023-01-12 19:02:29;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:02:31;7827,8;7828,6;7827,8;7828,3;;
2023-01-12 19:02:32;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:02:49;7829,8;7829,8;7829,3;7829,3;;
2023-01-12 19:02:52;7829,8;7829,8;7829,3;7829,3;;
2023-01-12 19:02:53;7829,3;7829,3;7829,3;7829,3;;
2023-01-12 19:03:03;7827,9;7827,9;7827,3;7827,3;;
2023-01-12 19:03:04;7827,8;7827,8;7827,8;7827,8;;
2023-01-12 19:03:05;7827,8;7827,8;7827,8;7827,8;;
2023-01-12 19:03:07;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:03:08;7827,8;7827,8;7827,8;7827,8;;
2023-01-12 19:03:09;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:03:11;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:03:12;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:03:27;7827,8;7827,8;7827,8;7827,8;;
2023-01-12 19:03:28;7827,8;7827,8;7827,3;7827,3;;
2023-01-12 19:03:29;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:03:30;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:03:31;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:03:35;7827,1;7827,1;7826,8;7826,8;;
2023-01-12 19:03:36;7827,1;7827,3;7827,1;7827,3;;
2023-01-12 19:03:37;7827,2;7827,2;7827,2;7827,2;;
2023-01-12 19:03:38;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:03:40;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:03:44;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:03:45;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:03:46;7827,3;7827,8;7827,3;7827,8;;
2023-01-12 19:03:47;7827,8;7827,8;7827,8;7827,8;;
2023-01-12 19:03:59;7828,3;7828,3;7827,8;7827,8;;
2023-01-12 19:04:01;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:04:04;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:04:09;7828,8;7828,8;7828,8;7828,8;;
2023-01-12 19:04:10;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:04:13;7827,8;7827,8;7827,8;7827,8;;
2023-01-12 19:04:20;7827,8;7827,8;7827,3;7827,3;;
2023-01-12 19:04:21;7827,3;7827,3;7826,8;7826,8;;
2023-01-12 19:04:26;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:04:27;7827,8;7827,8;7827,8;7827,8;;
2023-01-12 19:04:35;7827,8;7827,8;7827,8;7827,8;;
2023-01-12 19:04:37;7827,3;7827,3;7827,3;7827,3;;
2023-01-12 19:04:41;7827,8;7827,8;7827,8;7827,8;;
2023-01-12 19:04:44;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:04:49;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:04:50;7828,3;7828,3;7828,3;7828,3;;
2023-01-12 19:04:58;7827,8;7827,8;7827,8;7827,8;;
2023-01-12 19:05:00;7827,8;7827,8;7827,3;7827,3;;
